jobs,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
Machine Learning and AI,238000,Senior,Full-time,In-person,United States,M
Data Science and Research,212000,Executive,Full-time,In-person,United States,M
Data Science and Research,190000,Executive,Full-time,In-person,United States,M
Data Science and Research,261500,Senior,Full-time,In-person,United States,L
Data Science and Research,134500,Senior,Full-time,In-person,United States,L
Data Architecture and Modeling,239000,Senior,Full-time,In-person,United States,L
Data Architecture and Modeling,122900,Senior,Full-time,In-person,United States,L
Machine Learning and AI,267720,Senior,Full-time,In-person,United States,M
Data Engineering,180000,Senior,Full-time,In-person,United States,M
Data Engineering,90000,Senior,Full-time,In-person,United States,M
Data Analysis,83000,Mid-level,Full-time,Remote,United States,M
Data Analysis,66000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,224250,Senior,Full-time,In-person,United States,M
Data Science and Research,121550,Senior,Full-time,In-person,United States,M
Data Engineering,109000,Mid-level,Full-time,Remote,United States,M
Data Engineering,100000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,205400,Senior,Full-time,In-person,United States,M
Data Science and Research,92900,Senior,Full-time,In-person,United States,M
Machine Learning and AI,220000,Entry-level,Full-time,In-person,United States,M
Machine Learning and AI,130000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,160000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,110000,Mid-level,Full-time,Remote,United States,M
Data Engineering,230000,Senior,Full-time,In-person,United States,M
BI and Visualization,186030,Senior,Full-time,Remote,United States,M
BI and Visualization,110200,Senior,Full-time,Remote,United States,M
Data Science and Research,130000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,100000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,242000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,106200,Mid-level,Full-time,In-person,United States,M
Data Science and Research,220000,Executive,Full-time,Remote,United States,M
Data Science and Research,120000,Executive,Full-time,Remote,United States,M
Data Science and Research,91200,Entry-level,Full-time,In-person,United States,M
Data Science and Research,58200,Entry-level,Full-time,In-person,United States,M
Data Science and Research,192000,Senior,Full-time,Remote,United States,M
Data Science and Research,178000,Senior,Full-time,Remote,United States,M
Data Engineering,210000,Senior,Full-time,Remote,United States,M
